symptom,disease
"Loss of appetite, Vomiting and Unusually tired",Liver cancer
"Loss of appetite, Vomiting and Upper abdominal pain",Inflammation of pancreas
"Loss of appetite, Vomiting and Upper abdominal pain",Hepatitis
"Loss of appetite, Yellow skin or eyes and Continuous, unexplained weight loss",Liver cancer
"Loss of appetite, Yellow skin or eyes and Continuous, unexplained weight loss",Bile duct Cancer
"Loss of appetite, Yellow skin or eyes and Right sided abdominal pain",Hepatitis
"Loss of appetite, Yellow skin or eyes and Right sided abdominal pain",Bile duct Cancer
"Loss of appetite, Yellow skin or eyes and Unusually tired",Liver cancer
"Loss of appetite, Yellow skin or eyes and Unusually tired",Hepatitis
"Loss of appetite, Yellow skin or eyes and Upper abdominal pain",Hepatitis
"Loss of appetite, Yellow skin or eyes and Upper abdominal pain",Bile duct Cancer
"Loss of appetite, Yellow skin or eyes and Vomiting",Liver cancer
"Loss of appetite, Yellow skin or eyes and Vomiting",Hepatitis
Loss of consciousness,Epilepsy
Loss of consciousness,Postural tachycardia syndrome
Loss of consciousness,SVT
Loss of outer vision,Retinal detachment
Loss of outer vision,Uveitis
Loss of outer vision,Glaucoma
Loss of outer vision and Blurred vision,Retinal detachment
Loss of outer vision and Blurred vision,Glaucoma
Loss of outer vision and Blurred vision,Uveitis
Loss of outer vision and Eye pain,Glaucoma
Loss of outer vision and Eye pain,Uveitis
Loss of outer vision and Reduced vision,Retinal detachment
Loss of outer vision and Reduced vision,Glaucoma
Loss of outer vision and Reduced vision,Uveitis
"Loss of outer vision, Blurred vision and Eye pain",Glaucoma
"Loss of outer vision, Blurred vision and Eye pain",Uveitis
"Loss of outer vision, Blurred vision and Reduced vision",Uveitis
"Loss of outer vision, Blurred vision and Reduced vision",Retinal detachment
"Loss of outer vision, Blurred vision and Reduced vision",Glaucoma
"Loss of outer vision, Eye pain and Reduced vision",Glaucoma
"Loss of outer vision, Eye pain and Reduced vision",Uveitis
"Low Mood, No Interest In Things and Feeling Irritable",Postnatal Psychosis
"Low Mood, No Interest In Things and Feeling Irritable",Dementia
"Low Mood, No Interest In Things and Feeling Irritable",Postnatal Depression
Lower abdominal pain,Ovarian Cancer
Lower abdominal pain,Cystitis
Lower abdominal pain,Ovarian cyst
Lower abdominal pain,Diverticulitis
Lower abdominal pain,Ectopic pregnancy
Lower abdominal pain,Appendicitis
Lower abdominal pain,Chlamydia
Lower abdominal pain and Abdominal pain worse on coughing,Appendicitis
Lower abdominal pain and Abdominal pain worse on coughing,Diverticulitis
Lower abdominal pain and Bleeding between periods,Ectopic pregnancy
Lower abdominal pain and Bleeding between periods,Chlamydia
Lower abdominal pain and Difficulty passing urine,Cystitis
Lower abdominal pain and Difficulty passing urine,Chlamydia
Lower abdominal pain and Pain during sex,Ovarian cyst
Lower abdominal pain and Pain during sex,Chlamydia
Lower back pain,Prostatitis
Lower back pain,Ankylosing spondylitis
Lower back pain,Kidney Cancer
Lower back pain,Back pain
Lower back pain,Fibroid
Lower back pain,Multiple myeloma
Lower back pain,Shooting pain down back of leg
Lower back pain,Pyelonephritis
Lower back pain and Back stiffness,Ankylosing spondylitis
Lower back pain and Back stiffness,Back pain
Lower back pain and Buttock pain,Ankylosing spondylitis
Lower back pain and Buttock pain,Shooting pain down back of leg
Lower back pain and Groin pain,Prostatitis
Lower back pain and Groin pain,Pyelonephritis
Lower back pain and Pain on side of abdomen,Kidney Cancer
Lower back pain and Pain on side of abdomen,Pyelonephritis
Lower back pain and Passing more urine than usual,Pyelonephritis
Lower back pain and Passing more urine than usual,Prostatitis
Lower back pain and Unusually tired,Fibroid
Lower back pain and Unusually tired,Ankylosing spondylitis
Lower back pain and Unusually tired,Multiple myeloma
Lower back pain and Unusually tired,Pyelonephritis
"Lower back pain, Passing more urine than usual and Groin pain",Pyelonephritis
"Lower back pain, Passing more urine than usual and Groin pain",Prostatitis
Lower sex drive and Difficulty concentrating,Premenstrual tension syndrome
Lower sex drive and Difficulty concentrating,Depression
Lower sex drive and Difficulty sleeping,Depression
Lower sex drive and Difficulty sleeping,Menopause
Lower sex drive and Feeling irritable,Premenstrual tension syndrome
Lower sex drive and Feeling irritable,Depression
Lower sex drive and Mood swings,Menopause
Lower sex drive and Mood swings,Premenstrual tension syndrome
Lower sex drive and Unusually tired,Depression
Lower sex drive and Unusually tired,Menopause
Lump in breast,Breast Cancer
Lump in breast,Male breast cancer
Lump in breast,Infection of the breast
Lump in breast,Breast abscess
Lump in breast and Breast pain,Breast abscess
Lump in breast and Breast pain,Infection of the breast
Lump in breast and Redness of the breast,Infection of the breast
Lump in breast and Redness of the breast,Breast abscess
"Lump in breast, Breast pain and Redness of the breast",Breast abscess
"Lump in breast, Breast pain and Redness of the breast",Infection of the breast
Memory loss,Alzheimer's disease
Memory loss,Major head injury
Memory loss and Confused or muddled,Alzheimer's disease
Memory loss and Confused or muddled,Major head injury
Missing periods,Menopause
Missing periods,Ectopic pregnancy
Missing periods,Anorexia
Missing periods and Irregular or infrequent periods,Anorexia
Missing periods and Irregular or infrequent periods,Menopause
Mood swings and Difficulty concentrating,Premenstrual tension syndrome
Mood swings and Difficulty concentrating,Bipolar disorder
Mouth soreness,Oral thrush
Mouth soreness,Hand foot and mouth disease
Mouth soreness,Oral Thrush
Mouth soreness,Kawasaki disease
Mucus in stool or  poo,Ulcerative colitis
Mucus in stool or  poo,Crohn's disease
Mucus in stool or  poo and Change in bowel habit,Crohn's disease
Mucus in stool or  poo and Change in bowel habit,Ulcerative colitis
Mucus in stool or  poo and Unusually tired,Crohn's disease
Mucus in stool or  poo and Unusually tired,Ulcerative colitis
"Mucus in stool or  poo, Change in bowel habit and Unusually tired",Ulcerative colitis
"Mucus in stool or  poo, Change in bowel habit and Unusually tired",Crohn's disease
Neck pain,Meningitis
Neck pain,Polymyalgia rheumatica
Neck pain,Cervical spondylosis
Neck pain and Neck stiffness,Cervical spondylosis
Neck pain and Neck stiffness,Polymyalgia rheumatica
Neck pain and Neck stiffness,Meningitis
Neck pain and Pain in shoulder,Cervical spondylosis
Neck pain and Pain in shoulder,Polymyalgia rheumatica
"Neck pain, Pain in shoulder and Neck stiffness",Cervical spondylosis
"Neck pain, Pain in shoulder and Neck stiffness",Polymyalgia rheumatica
Neck stiffness,Meningitis
Neck stiffness,Aneurysm
Neck stiffness,Polymyalgia rheumatica
Neck stiffness,Cervical spondylosis
Neck stiffness,Subarachnoid haemorrhage
Neck stiffness and Headache that came on suddenly,Aneurysm
Neck stiffness and Headache that came on suddenly,Subarachnoid haemorrhage
Neck stiffness and Severe headache,Subarachnoid haemorrhage
Neck stiffness and Severe headache,Aneurysm
Noises in ear,Acoustic neuroma
Noises in ear,Otosclerosis
Noises in ear,Ménière's disease
Noises in ear and Hearing loss in one ear,Acoustic neuroma
Noises in ear and Hearing loss in one ear,Ménière's disease
Noises in ear and Sensation of room spinning,Ménière's disease
Noises in ear and Sensation of room spinning,Acoustic neuroma
"Noises in ear, Sensation of room spinning and Hearing loss in one ear",Acoustic neuroma
"Noises in ear, Sensation of room spinning and Hearing loss in one ear",Ménière's disease
"Noisy breathing, on breathing in",Croup
"Noisy breathing, on breathing in",Epiglottitis
"Noisy breathing, on breathing in and Change of voice",Epiglottitis
"Noisy breathing, on breathing in and Change of voice",Croup
Nose bleeding,Haemophilia A
Nose bleeding,Granulomatosis with polyangiitis
Nose bleeding,Nasopharyngeal cancer
Nose bleeding,Neoplasm of nose
Nose bleeding and Blocked nose,Neoplasm of nose
Nose bleeding and Blocked nose,Nasopharyngeal cancer
Numbness or  tingling of hands,Guillain-Barré syndrome
Numbness or  tingling of hands,Carpal Tunnel Syndrome
Numbness or  tingling on one side of body,Carpal Tunnel Syndrome
Numbness or  tingling on one side of body,Shingles
Numbness or  tingling on one side of body,Aneurysm
Numbness or  tingling on one side of body,Postherpetic neuralgia
Obsessed with weight or appearance,Bulimia
Obsessed with weight or appearance,Anorexia
Obsessed with weight or appearance and Intentional weight loss,Bulimia
Obsessed with weight or appearance and Intentional weight loss,Anorexia
"Pain During Sex, Feel Full Quickly, Lower Abdominal Pain, Passing More Urine Than Usual, Pain In The Pelvic Region and Bloated Stomach",Ovarian Cyst
"Pain During Sex, Feel Full Quickly, Lower Abdominal Pain, Passing More Urine Than Usual, Pain In The Pelvic Region and Bloated Stomach",Ovarian Cancer
"Pain When Passing Stools, Itchy Anus, Blood In Stool Poo and Constipation",Anal Fistula
"Pain When Passing Stools, Itchy Anus, Blood In Stool Poo and Constipation",Piles
Pain at base of spine,Ankylosing spondylitis
Pain at base of spine,Pain at base of spine
Pain during sex,Ovarian cyst
Pain during sex,Vaginismus
Pain during sex,Pelvic Inflammatory Disease
Pain during sex,Chlamydia
Pain in elbow,Tennis Elbow
Pain in elbow,Bursitis
Pain in finger,Chilblains
Pain in finger,Hammer finger
Pain in finger,Rheumatoid arthritis
Pain in finger and Swollen finger,Rheumatoid arthritis
Pain in finger and Swollen finger,Chilblains
Pain in finger and Swollen finger,Hammer finger
Pain in hand,Rheumatoid arthritis
Pain in hand,Dupuytren's contracture
Pain in hand and Hand stiffness,Dupuytren's contracture
Pain in hand and Hand stiffness,Rheumatoid arthritis
Pain in more than one joint,Henoch-Schönlein purpura
Pain in more than one joint,Ankylosing spondylitis
Pain in more than one joint,Chronic fatigue syndrome
Pain in more than one joint,Reactive arthritis
Pain in more than one joint,Psoriatic arthritis
Pain in more than one joint,Rheumatoid arthritis
Pain in more than one joint,Fibromyalgia
Pain in more than one joint and Aching muscles all over body,Chronic fatigue syndrome
Pain in more than one joint and Aching muscles all over body,Fibromyalgia
Pain in more than one joint and Swelling of more than one joint,Rheumatoid arthritis
Pain in more than one joint and Swelling of more than one joint,Psoriatic arthritis
Pain in more than one joint and Unusually tired,Ankylosing spondylitis
Pain in more than one joint and Unusually tired,Fibromyalgia
Pain in more than one joint and Unusually tired,Chronic fatigue syndrome
"Pain in more than one joint, Aching muscles all over body and Unusually tired",Fibromyalgia
"Pain in more than one joint, Aching muscles all over body and Unusually tired",Chronic fatigue syndrome
Pain in one joint,Bunion
Pain in one joint,Repetitive Strain Injury
Pain in one joint,Gout
Pain in one joint,Reactive arthritis
Pain in one joint,Osteoarthritis
Pain in one joint,Bursitis
Pain in one joint,Bacterial arthritis
Pain in one joint and Single joint stiffness,Bacterial arthritis
Pain in one joint and Single joint stiffness,Gout
Pain in one joint and Single joint stiffness,Osteoarthritis
Pain in one joint and Single joint stiffness,Repetitive Strain Injury
Pain in one joint and Single joint stiffness,Bunion
Pain in one joint and Single joint stiffness,Bursitis
Pain in one joint and Single swollen joint,Reactive arthritis
Pain in one joint and Single swollen joint,Osteoarthritis
Pain in one joint and Single swollen joint,Bunion
Pain in one joint and Single swollen joint,Bacterial arthritis
Pain in one joint and Single swollen joint,Bursitis
Pain in one joint and Single swollen joint,Gout
"Pain in one joint, Single swollen joint and Single joint stiffness",Bunion
"Pain in one joint, Single swollen joint and Single joint stiffness",Bursitis
"Pain in one joint, Single swollen joint and Single joint stiffness",Gout
"Pain in one joint, Single swollen joint and Single joint stiffness",Osteoarthritis
"Pain in one joint, Single swollen joint and Single joint stiffness",Bacterial arthritis
Pain in shoulder,Frozen Shoulder
Pain in shoulder,Cervical spondylosis
Pain in shoulder,Rotator cuff syndrome
Pain in shoulder,Bursitis
Pain in shoulder,Polymyalgia rheumatica
Pain in shoulder and Neck stiffness,Polymyalgia rheumatica
Pain in shoulder and Neck stiffness,Cervical spondylosis
Pain in shoulder and Shoulder stiffness,Polymyalgia rheumatica
Pain in shoulder and Shoulder stiffness,Frozen Shoulder
Pain in testicle,Chlamydia
Pain in testicle,Prostatitis
Pain in the pelvic region,Endometriosis
Pain in the pelvic region,Ovarian Cancer
Pain in the pelvic region,Pelvic Inflammatory Disease
Pain in the pelvic region,Ovarian cyst
Pain in the pelvic region and Bleeding between periods,Endometriosis
Pain in the pelvic region and Bleeding between periods,Pelvic Inflammatory Disease
Pain in the pelvic region and Lower abdominal pain,Ovarian Cancer
Pain in the pelvic region and Lower abdominal pain,Ovarian cyst
Pain in the pelvic region and Pain during sex,Pelvic Inflammatory Disease
Pain in the pelvic region and Pain during sex,Ovarian cyst
Pain in toe,Bunion
Pain in toe,Gout
Pain in toe,Morton's Neuroma
Pain in toe,Chilblains
Pain in toe and Pain in one joint,Gout
Pain in toe and Pain in one joint,Bunion
Pain in toe and Single joint stiffness,Bunion
Pain in toe and Single joint stiffness,Gout
Pain in toe and Single swollen joint,Bunion
Pain in toe and Single swollen joint,Gout
Pain in toe and Swollen toe,Gout
Pain in toe and Swollen toe,Bunion
"Pain in toe, Pain in one joint and Single joint stiffness",Gout
"Pain in toe, Pain in one joint and Single joint stiffness",Bunion
"Pain in toe, Pain in one joint and Single swollen joint",Bunion
"Pain in toe, Pain in one joint and Single swollen joint",Gout
"Pain in toe, Single swollen joint and Single joint stiffness",Bunion
"Pain in toe, Single swollen joint and Single joint stiffness",Gout
"Pain in toe, Swollen toe and Pain in one joint",Bunion
"Pain in toe, Swollen toe and Pain in one joint",Gout
"Pain in toe, Swollen toe and Single joint stiffness",Bunion
"Pain in toe, Swollen toe and Single joint stiffness",Gout
"Pain in toe, Swollen toe and Single swollen joint",Bunion
"Pain in toe, Swollen toe and Single swollen joint",Gout
Pain in vagina,Vaginismus
Pain in vagina,Vulval Cancer
Pain in vagina,Vaginal pain
Pain in vagina,Genital Herpes in Women
Pain in vagina,Vaginitis
Pain in vagina and Vaginal rash,Vulval Cancer
Pain in vagina and Vaginal rash,Genital Herpes in Women
Pain on eyelid,Inflammation of eyelids
Pain on eyelid,Stye
Pain on left or right side of head,Migraine
Pain on left or right side of head,Cluster headache
Pain on left or right side of head and Headache that came on suddenly,Migraine
Pain on left or right side of head and Headache that came on suddenly,Cluster headache
Pain on left or right side of head and Severe headache,Cluster headache
Pain on left or right side of head and Severe headache,Migraine
"Pain on left or right side of head, Severe headache and Headache that came on suddenly",Cluster headache
"Pain on left or right side of head, Severe headache and Headache that came on suddenly",Migraine
Pain on side of abdomen,Pyelonephritis
Pain on side of abdomen,Kidney Cancer
Pain under front of foot,Bunion
Pain under front of foot,Morton's Neuroma
Pain under front of foot and Pain in toe,Bunion
Pain under front of foot and Pain in toe,Morton's Neuroma
Pain when passing stools,Anal ulcer or blister
Pain when passing stools,Piles
Pain when passing stools,Anal Cancer
Pain when passing stools,Anal fistula
Pain when passing stools and Anal lump,Anal Cancer
Pain when passing stools and Anal lump,Piles
Pain when passing urine,Vaginal thrush
Pain when passing urine,Genital Herpes in Men
Pain when passing urine,Genital Herpes in Women
Pain when passing urine,Chlamydia
Pain when passing urine,Gonorrhoea in Men
Pain when passing urine,Gonorrhoea in Women
Pain when passing urine,Cystitis
Pain when passing urine,Bladder Cancer
Pain when passing urine,Prostatitis
Pain when passing urine,Chlamydia
Pain when passing urine and Bleeding between periods,Pelvic Inflammatory Disease
Pain when passing urine and Bleeding between periods,Chlamydia
Pain when passing urine and Difficulty passing urine,Pelvic Inflammatory Disease
Pain when passing urine and Difficulty passing urine,Pyelonephritis
Pain when passing urine and Difficulty passing urine,Gonorrhoea in Women
Pain when passing urine and Difficulty passing urine,Bladder Cancer
Pain when passing urine and Difficulty passing urine,Cystitis
Pain when passing urine and Difficulty passing urine,Genital Herpes in Women
Pain when passing urine and Difficulty passing urine,Chlamydia
Pain when passing urine and Difficulty passing urine,Genital Herpes in Men
Pain when passing urine and Difficulty passing urine,Gonorrhoea in Men
Pain when passing urine and Difficulty passing urine,Chlamydia
Pain when passing urine and Groin pain,Pyelonephritis
Pain when passing urine and Groin pain,Prostatitis
Pain when passing urine and Lower abdominal pain,Chlamydia
Pain when passing urine and Lower abdominal pain,Cystitis
Pain when passing urine and Lower back pain,Prostatitis
Pain when passing urine and Lower back pain,Pyelonephritis
Pain when passing urine and Pain during sex,Pelvic Inflammatory Disease
Pain when passing urine and Pain during sex,Chlamydia
Pain when passing urine and Pain in testicle,Prostatitis
Pain when passing urine and Pain in testicle,Chlamydia
Pain when passing urine and Passing more urine than usual,Bladder Cancer
Pain when passing urine and Passing more urine than usual,Cystitis
Pain when passing urine and Passing more urine than usual,Pyelonephritis
Pain when passing urine and Passing more urine than usual,Prostatitis
Pain when passing urine and Penis discharge,Chlamydia
Pain when passing urine and Penis discharge,Gonorrhoea in Men
Pain when passing urine and Unusual vaginal discharge,Genital Herpes in Women
Pain when passing urine and Unusual vaginal discharge,Vaginal thrush
Pain when passing urine and Unusual vaginal discharge,Chlamydia
Pain when passing urine and Unusual vaginal discharge,Gonorrhoea in Women
Pain when passing urine and Unusual vaginal discharge,Pelvic Inflammatory Disease
Pain when passing urine and Urgent desire to pass urine,Pyelonephritis
Pain when passing urine and Urgent desire to pass urine,Bladder Cancer
Pain when passing urine and Urgent desire to pass urine,Cystitis
Pain when passing urine and Vaginal bleeding after sex,Pelvic Inflammatory Disease
Pain when passing urine and Vaginal bleeding after sex,Chlamydia
"Pain when passing urine, Bleeding between periods and Pain during sex",Chlamydia
"Pain when passing urine, Bleeding between periods and Pain during sex",Pelvic Inflammatory Disease
"Pain when passing urine, Difficulty passing urine and Bleeding between periods",Chlamydia
"Pain when passing urine, Difficulty passing urine and Bleeding between periods",Pelvic Inflammatory Disease
"Pain when passing urine, Difficulty passing urine and Pain during sex",Pelvic Inflammatory Disease
"Pain when passing urine, Difficulty passing urine and Pain during sex",Chlamydia
"Pain when passing urine, Lower abdominal pain and Difficulty passing urine",Chlamydia
"Pain when passing urine, Lower abdominal pain and Difficulty passing urine",Cystitis
"Pain when passing urine, Lower back pain and Groin pain",Pyelonephritis
"Pain when passing urine, Lower back pain and Groin pain",Prostatitis
"Pain when passing urine, Lower back pain and Passing more urine than usual",Prostatitis
"Pain when passing urine, Lower back pain and Passing more urine than usual",Pyelonephritis
"Pain when passing urine, Passing more urine than usual and Difficulty passing urine",Bladder Cancer
"Pain when passing urine, Passing more urine than usual and Difficulty passing urine",Pyelonephritis
"Pain when passing urine, Passing more urine than usual and Difficulty passing urine",Cystitis
"Pain when passing urine, Passing more urine than usual and Groin pain",Pyelonephritis
"Pain when passing urine, Passing more urine than usual and Groin pain",Prostatitis
"Pain when passing urine, Passing more urine than usual and Urgent desire to pass urine",Cystitis
"Pain when passing urine, Passing more urine than usual and Urgent desire to pass urine",Bladder Cancer
"Pain when passing urine, Passing more urine than usual and Urgent desire to pass urine",Pyelonephritis
"Pain when passing urine, Penis discharge and Difficulty passing urine",Gonorrhoea in Men
"Pain when passing urine, Penis discharge and Difficulty passing urine",Chlamydia
"Pain when passing urine, Unusual vaginal discharge and Bleeding between periods",Pelvic Inflammatory Disease
"Pain when passing urine, Unusual vaginal discharge and Bleeding between periods",Chlamydia
"Pain when passing urine, Unusual vaginal discharge and Difficulty passing urine",Chlamydia
"Pain when passing urine, Unusual vaginal discharge and Difficulty passing urine",Pelvic Inflammatory Disease
"Pain when passing urine, Unusual vaginal discharge and Difficulty passing urine",Genital Herpes in Women
"Pain when passing urine, Unusual vaginal discharge and Difficulty passing urine",Gonorrhoea in Women
"Pain when passing urine, Unusual vaginal discharge and Pain during sex",Pelvic Inflammatory Disease
"Pain when passing urine, Unusual vaginal discharge and Pain during sex",Chlamydia
"Pain when passing urine, Urgent desire to pass urine and Difficulty passing urine",Bladder Cancer
"Pain when passing urine, Urgent desire to pass urine and Difficulty passing urine",Cystitis
"Pain when passing urine, Urgent desire to pass urine and Difficulty passing urine",Pyelonephritis
"Pain when passing urine, Vaginal bleeding after sex and Bleeding between periods",Chlamydia
"Pain when passing urine, Vaginal bleeding after sex and Bleeding between periods",Pelvic Inflammatory Disease
"Pain when passing urine, Vaginal bleeding after sex and Difficulty passing urine",Pelvic Inflammatory Disease
"Pain when passing urine, Vaginal bleeding after sex and Difficulty passing urine",Chlamydia
"Pain when passing urine, Vaginal bleeding after sex and Pain during sex",Pelvic Inflammatory Disease
"Pain when passing urine, Vaginal bleeding after sex and Pain during sex",Chlamydia
"Pain when passing urine, Vaginal bleeding after sex and Unusual vaginal discharge",Chlamydia
"Pain when passing urine, Vaginal bleeding after sex and Unusual vaginal discharge",Pelvic Inflammatory Disease
Painful Skin and Itchy Rash,Shingles
Painful Skin and Itchy Rash,Pressure Ulcer
Painful knee,Henoch-Schönlein purpura
Painful knee,Osteoarthritis
Painful periods or  menstruation,Fibroid
Painful periods or  menstruation,Pelvic Inflammatory Disease
Painful periods or  menstruation,Endometriosis
Painful periods or  menstruation and Bleeding between periods,Endometriosis
Painful periods or  menstruation and Bleeding between periods,Pelvic Inflammatory Disease
Painful periods or  menstruation and Heavy periods,Pelvic Inflammatory Disease
Painful periods or  menstruation and Heavy periods,Endometriosis
Painful periods or  menstruation and Heavy periods,Fibroid
Painful periods or  menstruation and Pain in the pelvic region,Endometriosis
Painful periods or  menstruation and Pain in the pelvic region,Pelvic Inflammatory Disease
"Painful periods or  menstruation, Heavy periods and Bleeding between periods",Endometriosis
"Painful periods or  menstruation, Heavy periods and Bleeding between periods",Pelvic Inflammatory Disease
"Painful periods or  menstruation, Heavy periods and Pain in the pelvic region",Pelvic Inflammatory Disease
"Painful periods or  menstruation, Heavy periods and Pain in the pelvic region",Endometriosis
"Painful periods or  menstruation, Pain in the pelvic region and Bleeding between periods",Endometriosis
"Painful periods or  menstruation, Pain in the pelvic region and Bleeding between periods",Pelvic Inflammatory Disease
Painful skin,Shingles
Painful skin,Cellulitis
Painless blood in urine,Kidney Cancer
Painless blood in urine,Bladder Cancer
Passing excessive wind,Gluten Intolerance
Passing excessive wind,Diverticulitis
Passing excessive wind,Irritable bowel syndrome
Passing excessive wind,Lactose intolerance
Passing excessive wind and Abdominal pain after eating,Lactose intolerance
Passing excessive wind and Abdominal pain after eating,Irritable bowel syndrome
Passing excessive wind and Change in bowel habit,Irritable bowel syndrome
Passing excessive wind and Change in bowel habit,Diverticulitis
Passing more urine than usual,Uterine prolapse
Passing more urine than usual,Type 2 diabetes
Passing more urine than usual,Urinary tract infection in children
Passing more urine than usual,Prostatic enlargement
Passing more urine than usual,Pyelonephritis
Passing more urine than usual,Type 1 diabetes
Passing more urine than usual,Prostate Cancer
Passing more urine than usual,Bladder Cancer
Passing more urine than usual,Cystitis
Passing more urine than usual,Prostatitis
Passing more urine than usual and Cloudy urine,Cystitis
Passing more urine than usual and Cloudy urine,Urinary tract infection in children
"Passing more urine than usual and Continuous, unexplained weight loss",Bladder Cancer
"Passing more urine than usual and Continuous, unexplained weight loss",Type 2 diabetes
Passing more urine than usual and Difficulty passing urine,Cystitis
Passing more urine than usual and Difficulty passing urine,Bladder Cancer
Passing more urine than usual and Difficulty passing urine,Pyelonephritis
Passing more urine than usual and Difficulty passing urine,Prostate Cancer
Passing more urine than usual and Groin pain,Prostatitis
Passing more urine than usual and Groin pain,Pyelonephritis
Passing more urine than usual and Unintentional passing of urine,Uterine prolapse
Passing more urine than usual and Unintentional passing of urine,Prostatic enlargement
Passing more urine than usual and Unusually thirsty,Type 1 diabetes
Passing more urine than usual and Unusually thirsty,Type 2 diabetes
Passing more urine than usual and Unusually tired,Type 1 diabetes
Passing more urine than usual and Unusually tired,Urinary tract infection in children
Passing more urine than usual and Unusually tired,Pyelonephritis
Passing more urine than usual and Unusually tired,Type 2 diabetes
Passing more urine than usual and Urgent desire to pass urine,Pyelonephritis
Passing more urine than usual and Urgent desire to pass urine,Bladder Cancer
Passing more urine than usual and Urgent desire to pass urine,Prostatic enlargement
Passing more urine than usual and Urgent desire to pass urine,Cystitis
Passing more urine than usual and Urgent desire to pass urine,Prostate Cancer
Passing more urine than usual and Weak flow of urine,Prostatic enlargement
Passing more urine than usual and Weak flow of urine,Prostate Cancer
Passing more urine than usual and Weak flow of urine,Uterine prolapse
"Passing more urine than usual, Unintentional passing of urine and Weak flow of urine",Prostatic enlargement
"Passing more urine than usual, Unintentional passing of urine and Weak flow of urine",Uterine prolapse
"Passing more urine than usual, Unusually tired and Unusually thirsty",Type 2 diabetes
"Passing more urine than usual, Unusually tired and Unusually thirsty",Type 1 diabetes
"Passing more urine than usual, Urgent desire to pass urine and Difficulty passing urine",Cystitis
"Passing more urine than usual, Urgent desire to pass urine and Difficulty passing urine",Prostate Cancer
"Passing more urine than usual, Urgent desire to pass urine and Difficulty passing urine",Pyelonephritis
"Passing more urine than usual, Urgent desire to pass urine and Difficulty passing urine",Bladder Cancer
"Passing more urine than usual, Urgent desire to pass urine and Weak flow of urine",Prostatic enlargement
"Passing more urine than usual, Urgent desire to pass urine and Weak flow of urine",Prostate Cancer
Passing urine at night frequently,Prostatic enlargement
Passing urine at night frequently,Prostate Cancer
Passing urine at night frequently and Passing more urine than usual,Prostate Cancer
Passing urine at night frequently and Passing more urine than usual,Prostatic enlargement
Passing urine at night frequently and Urgent desire to pass urine,Prostatic enlargement
Passing urine at night frequently and Urgent desire to pass urine,Prostate Cancer
Passing urine at night frequently and Weak flow of urine,Prostate Cancer
Passing urine at night frequently and Weak flow of urine,Prostatic enlargement
"Passing urine at night frequently, Passing more urine than usual and Urgent desire to pass urine",Prostatic enlargement
"Passing urine at night frequently, Passing more urine than usual and Urgent desire to pass urine",Prostate Cancer
"Passing urine at night frequently, Passing more urine than usual and Weak flow of urine",Prostatic enlargement
"Passing urine at night frequently, Passing more urine than usual and Weak flow of urine",Prostate Cancer
"Passing urine at night frequently, Urgent desire to pass urine and Weak flow of urine",Prostate Cancer
"Passing urine at night frequently, Urgent desire to pass urine and Weak flow of urine",Prostatic enlargement
Penis discharge,TV in Men
Penis discharge,Gonorrhoea in Men
Penis discharge,Penile cancer
Penis discharge,Chlamydia
Penis discharge and Difficulty passing urine,Chlamydia
Penis discharge and Difficulty passing urine,Gonorrhoea in Men
Puffyswollen eyes,Nephrotic syndrome
Puffyswollen eyes,Severe allergic reaction
Rash between toes and or fingers,Infestation by Sarcoptes scabiei var hominis
Rash between toes and or fingers,Athlete's Foot
Rash on foot,Athlete's Foot
Rash on foot,Hand foot and mouth disease
Rash on hand,Hand foot and mouth disease
Rash on hand,Eczema
Rash on penis,Genital Herpes in Men
Rash on penis,Penile Thrush
Rash on penis,Penile cancer
Rash on penis,Kawasaki disease
Red eyes,Inflammation of eyelids
Red eyes,Measles
Red eyes,Dry eyes
Red eyes,Uveitis
Red eyes,Infective conjunctivitis
Red eyes,Kawasaki disease
Red eyes and Discharge from eyes,Infective conjunctivitis
Red eyes and Discharge from eyes,Inflammation of eyelids
Red eyes and Eye pain,Dry eyes
Red eyes and Eye pain,Uveitis
Red eyes and Eye pain,Measles
Red eyes and Eye pain,Inflammation of eyelids
Red eyes and Eye pain,Infective conjunctivitis
Red eyes and Itchy eyes,Infective conjunctivitis
Red eyes and Itchy eyes,Dry eyes
Red eyes and Itchy eyes,Inflammation of eyelids
"Red eyes, Discharge from eyes and Eye pain",Infective conjunctivitis
"Red eyes, Discharge from eyes and Eye pain",Inflammation of eyelids
"Red eyes, Discharge from eyes and Itchy eyes",Infective conjunctivitis
"Red eyes, Discharge from eyes and Itchy eyes",Inflammation of eyelids
"Red eyes, Itchy eyes and Eye pain",Dry eyes
"Red eyes, Itchy eyes and Eye pain",Infective conjunctivitis
"Red eyes, Itchy eyes and Eye pain",Inflammation of eyelids
Red skin,Cellulitis
Red skin,Hives
Redness of the breast,Infection of the breast
Redness of the breast,Breast abscess
"Reduced Vision, Blurred Vision, Feeling Sick Nausea, Headache, Head Injury and Lightheaded Or Feeling Dizzy",Major Head Injury
"Reduced Vision, Blurred Vision, Feeling Sick Nausea, Headache, Head Injury and Lightheaded Or Feeling Dizzy",Minor Head Injury
"Reduced Vision, Blurred Vision, Loss Of Outer Vision and Spots Moving Across Field Of Vision",Uveitis
"Reduced Vision, Blurred Vision, Loss Of Outer Vision and Spots Moving Across Field Of Vision",Retinal Detachment
